Time_µs	C1 Voltage_mV
7.126620E+0	0.000000E+0
7.150620E+0	1.562500E+1
7.174620E+0	1.562500E+1
7.198620E+0	0.000000E+0
7.222620E+0	1.562500E+1
7.246620E+0	1.562500E+1
7.270620E+0	0.000000E+0
7.294620E+0	-1.562500E+1
7.318620E+0	0.000000E+0
7.342620E+0	3.125000E+1
7.366620E+0	1.562500E+1
7.390620E+0	-1.562500E+1
7.414620E+0	1.562500E+1
7.438620E+0	-1.562500E+1
7.462620E+0	-1.562500E+1
7.486620E+0	1.562500E+1
7.510620E+0	1.562500E+1
7.534620E+0	-1.562500E+1
7.558620E+0	3.125000E+1
7.582620E+0	-1.562500E+1
7.606620E+0	1.562500E+1
7.630620E+0	-1.562500E+1
7.654620E+0	-1.562500E+1
7.678619E+0	3.125000E+1
7.702619E+0	1.562500E+1
7.726619E+0	1.562500E+1
7.750619E+0	1.562500E+1
7.774619E+0	-1.562500E+1
7.798619E+0	1.562500E+1
7.822619E+0	1.562500E+1
7.846619E+0	1.562500E+1
7.870619E+0	0.000000E+0
7.894619E+0	-1.562500E+1
7.918619E+0	-1.562500E+1
7.942619E+0	0.000000E+0
7.966619E+0	-1.562500E+1
7.990619E+0	1.562500E+1
8.014619E+0	-1.562500E+1
8.038619E+0	0.000000E+0
8.062619E+0	-1.562500E+1
8.086619E+0	1.562500E+1
8.110619E+0	-3.125000E+1
8.134619E+0	0.000000E+0
8.158619E+0	0.000000E+0
8.182619E+0	0.000000E+0
8.206619E+0	-1.562500E+1
8.230619E+0	-1.562500E+1
8.254619E+0	1.562500E+1
8.278619E+0	1.562500E+1
8.302619E+0	0.000000E+0
8.326619E+0	3.125000E+1
8.350619E+0	1.562500E+1
8.374619E+0	-1.562500E+1
8.398619E+0	1.562500E+1
8.422619E+0	1.562500E+1
8.446619E+0	1.562500E+1
8.470619E+0	-1.562500E+1
8.494619E+0	1.562500E+1
8.518619E+0	-1.562500E+1
8.542619E+0	1.562500E+1
8.566619E+0	1.562500E+1
8.590619E+0	1.562500E+1
8.614619E+0	0.000000E+0
8.638619E+0	1.562500E+1
8.662619E+0	3.125000E+1
8.686619E+0	0.000000E+0
8.710619E+0	0.000000E+0
8.734619E+0	-1.562500E+1
8.758619E+0	-3.125000E+1
8.782619E+0	-1.562500E+1
8.806619E+0	0.000000E+0
8.830619E+0	3.125000E+1
8.854619E+0	3.125000E+1
